stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
gulberg,,Gulberg Stop,,33.5977253,73.1373495,,,0,,,1
i8Markaz,,I-8 Markaz Stop,,33.6658611,73.0743614,,,0,,,1
mciModelSchool,,MCI Model School Stop,,33.6595147,73.0609969,,,0,,,1
cdaComplaintCenter,,CDA Complaint Center Stop,,33.6572377,73.0565538,,,0,,,1
ogtiStop,,OGTI Stop,,33.6553545,73.0528758,,,0,,,1
suiGasStop,,Sui Gas Stop,,33.6532425,73.0489456,,,0,,,1
ptclI10,,PTCL I-10 Stop,,33.6491882,73.0412338,,,0,,,1
iescoI10Markaz,,IESCO I-10 Markaz Stop,,33.6476327,73.0382272,,,0,,,1
korangRoad,,Korang Road Stop,,33.6443595,73.0319801,,,0,,,1
mandiMorh,,Mandi Morh Stop,,33.6345773,73.0315952,,,0,,,1
metroCashAndCarry,,Metro Cash and Carry Stop,,33.6401094,73.0245706,,,0,,,1
islamabadMedicalComplex,,Islamabad Medical Complex Stop,,33.6485062,73.0171616,,,0,,,1
bahriaUniversityH11,,Bahria University H-11 Stop,,33.6551828,73.0195337,,,0,,,1
islamicInternationalUniversity,,Islamic International University Stop,,33.6579189,73.0175125,,,0,,,1
fastUniversity,,FAST University Stop,,33.6567402,73.0148852,,,0,,,1
policeLines,,Police Lines Stop,,33.6551816,73.0106915,,,0,,,1
saidpurVillage,,Saidpur Village Stop,,33.7399609,73.067073,,,0,,,1
f6_3,,F-6/3,,33.7357681,73.0696651,,,0,,,1
oldZoo,,Old Zoo Stop,,33.7323838,73.0631246,,,0,,,1
kohsarRoad,,Kohsar Road Stop,,33.7268035,73.0524867,,,0,,,1
parveenShakirRoad,,Parveen Shakir Road Stop,,33.7227397,73.0447267,,,0,,,1
faisalMasjid,,Faisal Masjid Stop,,33.7274014,73.0398081,,,0,,,1
navalComplex,,Naval Complex Stop,,33.7188664,73.0374431,,,0,,,1
bahriaUniversity,,Bahria University Stop,,33.7155913,73.031213,,,0,,,1
shaheenChowk,,Shaheen Chowk Stop,,33.7122179,73.026621,,,0,,,1
raviGateF9,,F-9 Park Ravi Gate Stop,,33.7097419,73.0284952,,,0,,,1
f8Markaz,,F-8 Markaz Stop,,33.711734,73.0371628,,,0,,,1
f8Katchery,,F-8 Katchery Stop,,33.7088077,73.0393485,,,0,,,1
bariImam,,Bari Imam Stop,,33.7435554,73.109445,,,0,,,1
muslimColony,,Muslim Colony Stop,,33.7382182,73.108218,,,0,,,1
aiwanESadarColony,,Aiwan e Sadar Colony Stop,,33.7337182,73.1084934,,,0,,,1
diplomaticEnclaveGate4,,Diplomatic Enclave Gate 4 Stop,,33.7310188,73.1105499,,,0,,,1
secretariatePoliceStation,,Secretariate Police Station Stop,,33.7275344,73.1082894,,,0,,,1
nationalLibrary,,National Library Stop,,33.7246072,73.102706,,,0,,,1
radioPakistan,,Radio Pakistan Stop,,33.7226287,73.1004565,,,0,,,1
ministryOfForeignAffairs,,Ministry of Foreign Affairs Stop,,33.718352,73.1037311,,,0,,,1
sukhChaynPark,,Sukh Chayn Park Stop,,33.7136071,73.1002971,,,0,,,1
lodgesPark,,Lodges Park Stop,,33.7160488,73.0984699,,,0,,,1
nadraChowk,,NADRA Chowk Stop,,33.7202353,73.0952968,,,0,,,1
icbCollege,,ICB College Stop,,33.7181181,73.0905731,,,0,,,1
metropolitanCorporation,,Metropolitan Corporation Stop,,33.715945,73.0873495,,,0,,,1
youthHostel,,Youth Hostel Stop,,33.7098963,73.0918373,,,0,,,1
abparaMarket,,Abpara Market Stop,,33.7102876,73.0883173,,,0,,,1
melodyMarket,,Melody Market Stop,,33.7147241,73.0849502,,,0,,,1
g61,,"G-6/1,2 Stop",,33.7129049,73.0807878,,,0,,,1
iqbalHall,,Iqbal Hall Stop,,33.7092677,73.0749385,,,0,,,1
pullyStop,,Pully Stop,,33.7069321,73.0704668,,,0,,,1
sitaraMarket,,Sitara Market Stop,,33.7060646,73.0667981,,,0,,,1
